985,370
1158,356
1306,360
1413,358
1513,357
1546,360
1567,360
1572,358
1557,364
1512,364
-1089,358
-1256,370
-1379,359
-1476,366
-1546,374
-1575,370
-1586,364
-1580,356
-1552,359
-1480,373
-1339,351
-1189,353
-1043,362
-849,370
-651,355
-451,362
-221,351
20,346
246,352
452,375
658,359
845,367
1017,377
1192,357
1328,362
1431,362
1519,353
1553,374
1569,349
1571,350
1552,362
1497,365
1374,365
1222,362
1080,358
901,359
700,366
504,364
286,358
44,372
-190,359
-399,365
-609,362
-801,360
-976,361
-1152,357
-1304,351
-1415,359
-1510,368
-1557,370
-1575,369
-1585,365
-1573,361
-1533,357
-1430,373
-1283,364
-1138,370
-976,374
-778,369
-581,367
-371,360
-134,372
104,361
321,354
527,366
727,370
907,363
1084,361
1249,371
1370,358
1467,358
1534,359
1561,366
1571,360
1566,358
1538,355
1462,364
1321,364
1169,364
0,0
1352,366
1449,359
1529,364
1557,357
1574,364
1568,352
1546,354
1481,360
1346,367
1193,366
1054,362
865,359
664,359
468,376
243,359
1,356
-229,364
-435,367
-645,367
-834,348
-1007,362
-1182,359
-1326,357
-1432,351
-1525,373
-1563,369
-1581,361
-1585,369
-1569,378
-1520,366
-1406,360
-1255,356
-1113,360
-942,359
-742,373
-546,372
-332,375
-92,372
143,356
356,352
565,373
761,363
939,378
1114,358
1273,349
1390,369
1484,361
1539,371
1562,359
1572,364
1562,357
1526,345
1439,360
1292,361
1145,350
988,349
794,367
595,378
390,370
156,374
-83,369
-305,370
-512,354
-714,366
-898,352
-1071,352
-1243,362
-1370,379
-1467,368
-1548,362
-1573,380
-1584,366
-1582,374
-1558,360
-1490,367
-1355,359
-1201,369
-1061,370
-872,351
-670,364
-475,360
-247,373
-5,366
224,356
428,358
638,364
827,348
999,367
1173,348
1318,367
1421,367
1513,367
1550,356
1569,362
1571,364
1555,360
1504,359
1387,367
1237,382
1095,368
921,342
721,352
525,375
311,374
70,359
-165,366
-378,371
-588,356
-780,366
-958,382
