2373	137
2536	298
2711	470
2907	663
3108	860
3286	1033
3412	1153
3503	1238
3519	1248
3523	1246
3530	1247
3533	1244
3525	1231
3430	1131
3315	1011
3167	859
2983	671
2807	492
2622	305
2384	65
2128	-191
1904	-415
1724	-594
1567	-749
1392	-922
1202	-1109
1001	-1306
808	-1494
677	-1620
558	-1733
532	-1753
527	-1752
520	-1753
514	-1753
517	-1745
579	-1678
692	-1560
830	-1417
1001	-1242
1189	-1051
1359	-878
1584	-651
1843	-392
2077	-158
2272	36
2430	192
2600	360
2782	539
2981	734
3182	931
3329	1073
3458	1196
3512	1244
3520	1246
3525	1245
3532	1246
3533	1241
3503	1206
3391	1089
3266	959
3109	798
2911	596
2746	428
2541	221
2290	-31
2041	-280
1832	-488
1668	-651
1501	-816
1327	-987
1130	-1181
931	-1376
757	-1545
629	-1667
542	-1748
528	-1756
525	-1753
519	-1753
515	-1751
524	-1737
624	-1632
739	-1512
888	-1359
1076	-1167
1249	-991
1434	-804
1677	-559
1934	-302
2155	-81
2335	98
2491	252
2664	423
2856	612
3055	807
3247	994
3378	1120
3491	1227
3516	1246
3521	1245
3528	1246
3533	1245
3530	1237
3465	1167
3349	1046
3209	901
3037	725
2851	536
2677	359
2451	131
2194	-126
1961	-359
1767	-552
1610	-707
1442	-873
1255	-1057
1057	-1251
858	-1446
713	-1586
584	-1709
535	-1752
527	-1754
522	-1753
516	-1753
516	-1747
550	-1708
662	-1591
787	-1461
947	-1297
1144	-1096
1309	-928
1518	-717
1772	-462
2017	-217
2226	-9
2389	153
2554	316
2730	489
2928	684
3128	880
3297	1044
3425	1166
3507	1242
3519	1248
3524	1247
1582	-735
1410	-905
1223	-1089
1022	-1286
824	-1479
691	-1607
568	-1724
532	-1754
527	-1753
520	-1754
514	-1754
515	-1748
568	-1690
681	-1572
814	-1434
980	-1264
1173	-1068
1340	-898
1559	-677
1815	-420
2055	-180
2258	22
2415	177
2584	344
2763	520
2961	714
3161	910
3319	1063
3446	1184
3510	1242
3520	1246
3525	1245
3532	1246
3533	1241
3512	1215
3401	1099
3278	971
3126	815
2931	616
2762	444
2563	243
2315	-6
2065	-256
1850	-470
1684	-635
1521	-796
1345	-969
1150	-1161
950	-1357
770	-1532
642	-1655
546	-1745
529	-1756
524	-1755
519	-1754
515	-1752
521	-1741
613	-1644
725	-1527
872	-1376
1054	-1190
1231	-1010
1411	-828
1651	-586
1906	-330
2134	-102
2315	78
2472	233
2647	406
2835	591
3033	785
3232	979
3362	1104
3484	1220
3515	1245
3521	1245
3526	1244
3533	1245
3531	1238
3475	1177
3361	1058
3226	918
3059	747
2867	552
2698	380
2477	157
2221	-99
1983	-337
1784	-535
1627	-690
1457	-858
1276	-1036
1075	-1233
877	-1427
725	-1574
595	-1698
537	-1750
528	-1753
523	-1752
516	-1753
514	-1749
539	-1719
652	-1601
775	-1473
930	-1314
1126	-1114
1292	-945
1494	-741
1746	-488
1995	-239
2206	-29
